registration_number,material_name,material_category,manufacturer_name,product_category,geographical_scope,country_of_origin,gwp_a1a3,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,epd_url
EPD-IES-0027634:001,Unitized Curtain Wall U-8000,Glass & Glazing,Glass Wall Systems India Ltd,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27634
EPD-IES-0028173:001,Punched Window – PW - 450,Glass & Glazing,Glass Wall Systems India Ltd,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28173
EPD-IES-0028218:001,Store Front SF-102,Other,Glass Wall Systems India Ltd,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28218
EPD-IES-0028246:001,Window Wall WW-9500,Glass & Glazing,Glass Wall Systems India Ltd,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28246
EPD-IES-0028248:001,Unitized Curtain Wall- U-140,Glass & Glazing,Glass Wall Systems India Ltd,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28248
EPD-IES-0016475:003,ER 1711®,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd16475
EPD-IES-0027946:001,ER 1685,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27946
EPD-IES-0027947:001,ER 1699,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27947
EPD-IES-0027949:001,Jargal®,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27949
EPD-IES-0027945:001,ER 1681®,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27945
EPD-IES-0027948:001,ER 1851®,Steel & Metal,SAINT-GOBAIN INDIA PRIVATE LIMITED-SEPR India,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27948
EPD-IES-0017309:005,Restora Ultra,Other,VEDANTA ALUMINIUM LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17309
EPD-IES-0017334:005,Restora,Other,VEDANTA ALUMINIUM LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17334
EPD-IES-0026930:001,Alu-Zinc Coated Steel in Sheets & Coils,Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26930
EPD-IES-0026931:001,Pre-Painted Alu-Zinc Coated Steel in Sheets & Coils,Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26931
EPD-IES-0026932:001,Galvanized Steel in Sheets & Coils,Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26932
EPD-IES-0026933:001,Pre-Painted Galvanized Steel in Sheets & Coils,Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26933
EPD-IES-0026934:001,"MS Tubes, Pipes & Hollow Section",Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26934
EPD-IES-0026935:001,GP Tubes & Pipes,Steel & Metal,APL Apollo Building Products Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26935
EPD-IES-0028105:001,SGG REFLECTASOL® on PLANILUX® 4 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28105
EPD-IES-0028104:001,SGG REFLECTASOL® on PLANILUX® 3.5 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28104
EPD-IES-0028107:001,SGG REFLECTASOL® on PLANILUX® 5 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28107
EPD-IES-0028103:001,SGG REFLECTASOL® on PARSOL® 6 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28103
EPD-IES-0028100:001,SGG REFLECTASOL® on PARSOL® 3.5 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28100
EPD-IES-0026799:001,SGG REFLECTASOL® on PARSOL® 4 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26799
EPD-IES-0028102:001,SGG REFLECTASOL® on PARSOL® 5 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28102
EPD-IES-0028269:001,Colormaxx 4mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28269
EPD-IES-0028283:001,Colormaxx 5mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28283
EPD-IES-0028285:001,Colormaxx 6mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28285
EPD-IES-0028303:001,Colormaxx Dura 4mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28303
EPD-IES-0028304:001,Colormaxx Dura 5mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28304
EPD-IES-0028305:001,Colormaxx Dura 6mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd28305
EPD-IES-0026136:001,Coal-Based Direct Reduced Iron product,Steel & Metal,Lloyds Metals and Energy Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26136
EPD-IES-0021402:002,ACSR Duck,Other,STERLITE POWER TRANSMISSION LTD,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21402
EPD-IES-0025485:001,Satin Silver® & Satin Silver® Supreme - Khopoli,Other,Tata BlueScope Steel Pvt. Ltd.,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25485
EPD-IES-0027452:001,Elastomeric Bearing,Other,mageba bridge products private limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27452
EPD-IES-0027515:001,ZymeFlow Rezyd-HP Z71,Chemical Products,CR3 Group,Chemical products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27515
EPD-IES-0027516:001,ZymeFlow Super Tank Zyme Z21,Chemical Products,CR3 Group,Chemical products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27516
EPD-IES-0027517:001,ZymeFlow Zyme-OX plus Z50,Chemical Products,CR3 Group,Chemical products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd27517
EPD-IES-0026208:002,Smart Locker,Other,Fonzel Office Solutions Pvt. Ltd.,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26208
EPD-IES-0026555:002,Monitor Arm (Apollo4 & A20+ Series),Other,Modtec Industries India Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26555
EPD-IES-0021818:001,Spring Steel Wire,Steel & Metal,Tata Steel Limited,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21818
EPD-IES-0021820:001,Galvanized Wire,Steel & Metal,Tata Steel Limited,"Metal, mineral, plastic & glass products",India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21820
EPD-IES-0021821:001,Low Relaxed Pre-stressed concrete (LRPC) Wire,Concrete & Cement,Tata Steel Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21821
EPD-IES-0009223:004,SGG PARSOL® 6 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd9223
EPD-IES-0007804:003,Austenitic Cold Rolled Annealed Pickled Sheets and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd7804
EPD-IES-0007840:002,Austenitic Hot Rolled Annealed Pickled Plates and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd7840
EPD-IES-0026582:002,Ferritic Hot Rolled Annealed Pickled Plates and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26582
EPD-IES-0026583:002,Ferritic Cold Rolled Annealed Pickled Sheets and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26583
EPD-IES-0024698:003,"Alu-Zinc Coated, Galvanised and Pre-painted steel coil,sheets and profile",Steel & Metal,Colorshine Coated Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24698
EPD-IES-0024631:002,Knauf India Ultraframe Metal Profiles,Steel & Metal,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24631
EPD-IES-0024648:002,Knauf India All Purpose Joint Compound,Other,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24648
EPD-IES-0024244:002,VDS® SWING DOOR frame,Other,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24244
EPD-IES-0004492:002,Radiant Baffle,Other,Infosys,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd4492
EPD-IES-0023919:002,Satin Silver® & Satin Silver® Supreme - Meramandali,Other,Tata BlueScope Steel Pvt. Ltd.,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd23919
EPD-IES-0025912:003,"XLPE Foam Thermal & Acoustic Insulation Products (Rolls, Sheets and Tube)",Steel & Metal,Aerolam Insulations Private Limted,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25912
EPD-IES-0025913:003,High Pressure Laminates,Other,Luxotica Industries Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25913
EPD-IES-0026553:002,Desk Consoles - XLAT,Furniture & Fittings,ONEPWS PRIVATE LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd26553
EPD-IES-0012057:005,"TMT Bars - ARS 550D, ARS CRS 550D (98% Recycled Steel)",Steel & Metal,ARS Steels and Alloy International Private Ltd,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd12057
EPD-IES-0022547:006,ZymeFlow Rezyd-X Z67,Chemical Products,CR3 Group,Chemical products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22547
EPD-IES-0022548:006,ZymeFlow UN657,Chemical Products,CR3 Group,Chemical products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22548
EPD-IES-0022924:005,Samrat Ply,Timber & Wood,Samrat Plywood Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22924
EPD-IES-0024224:004,Samrat HPL,Other,Samrat Plywood Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24224
